year,date,territory_type,territory,sex,nationality,age_group,age_min,age_max,population
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 0-4 años,,,125893
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 10-14 años,,,166609
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 100 y más años,,,284
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 15-19 años,,,156460
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 20-24 años,,,141029
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 25-29 años,,,145403
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 30-34 años,,,156333
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 35-39 años,,,185100
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 40-44 años,,,230991
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 45-49 años,,,244184
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 5-9 años,,,151555
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 50-54 años,,,221725
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 55-59 años,,,200939
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 60-64 años,,,169840
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 65-69 años,,,137576
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 70-74 años,,,124768
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 75-79 años,,,97341
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 80-84 años,,,64396
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 85-89 años,,,42830
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 90-94 años,,,16475
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 95-99 años,,,3433
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,Total,,,2783164
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 0-4 años,,,23358
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 10-14 años,,,19396
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 100 y más años,,,8
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 15-19 años,,,19167
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 20-24 años,,,31676
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 25-29 años,,,45011
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 30-34 años,,,51192
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 35-39 años,,,53508
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 40-44 años,,,52308
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 45-49 años,,,41470
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 5-9 años,,,22511
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 50-54 años,,,30748
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 55-59 años,,,19572
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 60-64 años,,,12909
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 65-69 años,,,7243
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 70-74 años,,,4019
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 75-79 años,,,2076
