year,date,territory_type,territory,unemp_rate,unemp_rate_yoy,unemp_rate_pp
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,118,,
2022,2022-01-01,Comunidad de Madrid,Comunidad de Madrid,-152,-228.8135593220339,-270.0
2023,2023-01-01,Comunidad de Madrid,Comunidad de Madrid,-43,-71.71052631578947,109.0
2024,2024-01-01,Comunidad de Madrid,Comunidad de Madrid,21,-148.8372093023256,64.0
2021,2021-01-01,Municipios,Acebeda (La),-302,,
2022,2022-01-01,Municipios,Acebeda (La),-82,-72.84768211920529,220.0
2023,2023-01-01,Municipios,Acebeda (La),25,-130.4878048780488,107.0
2024,2024-01-01,Municipios,Acebeda (La),-601,-2504.0,-626.0
2021,2021-01-01,Municipios,Ajalvir,58,,
2022,2022-01-01,Municipios,Ajalvir,-116,-300.0,-174.0
2023,2023-01-01,Municipios,Ajalvir,-15,-87.06896551724138,101.0
2024,2024-01-01,Municipios,Ajalvir,47,-413.33333333333326,62.0
2021,2021-01-01,Municipios,Alameda del Valle,128,,
2022,2022-01-01,Municipios,Alameda del Valle,-113,-188.28125,-241.0
2023,2023-01-01,Municipios,Alameda del Valle,237,-309.7345132743363,350.0
2024,2024-01-01,Municipios,Alameda del Valle,-38,-116.03375527426161,-275.0
2021,2021-01-01,Municipios,Alcalá de Henares,116,,
2022,2022-01-01,Municipios,Alcalá de Henares,-157,-235.3448275862069,-273.0
2023,2023-01-01,Municipios,Alcalá de Henares,-6,-96.17834394904459,151.0
2024,2024-01-01,Municipios,Alcalá de Henares,29,-583.3333333333333,35.0
2021,2021-01-01,Municipios,Alcobendas,11,,
2022,2022-01-01,Municipios,Alcobendas,-14,-227.27272727272725,-25.0
2023,2023-01-01,Municipios,Alcobendas,-43,207.14285714285717,-29.0
2024,2024-01-01,Municipios,Alcobendas,12,-127.90697674418605,55.0
2021,2021-01-01,Municipios,Alcorcón,105,,
2022,2022-01-01,Municipios,Alcorcón,-146,-239.04761904761904,-251.0
2023,2023-01-01,Municipios,Alcorcón,-46,-68.49315068493152,100.0
2024,2024-01-01,Municipios,Alcorcón,23,-150.0,69.0
2021,2021-01-01,Municipios,Aldea del Fresno,107,,
2022,2022-01-01,Municipios,Aldea del Fresno,-22,-120.56074766355141,-129.0
2023,2023-01-01,Municipios,Aldea del Fresno,-37,68.18181818181819,-15.0
2024,2024-01-01,Municipios,Aldea del Fresno,61,-264.86486486486484,98.0
2021,2021-01-01,Municipios,Algete,107,,
2022,2022-01-01,Municipios,Algete,-112,-204.6728971962617,-219.0
2023,2023-01-01,Municipios,Algete,-53,-52.67857142857143,59.0
2024,2024-01-01,Municipios,Algete,9,-116.98113207547169,62.0
2021,2021-01-01,Municipios,Alpedrete,84,,
2022,2022-01-01,Municipios,Alpedrete,-113,-234.52380952380955,-197.0
2023,2023-01-01,Municipios,Alpedrete,-12,-89.38053097345133,101.0
2024,2024-01-01,Municipios,Alpedrete,3,-125.0,15.0
2021,2021-01-01,Municipios,Ambite,134,,
2022,2022-01-01,Municipios,Ambite,-362,-370.14925373134326,-496.0
2023,2023-01-01,Municipios,Ambite,93,-125.69060773480662,455.0
2024,2024-01-01,Municipios,Ambite,-173,-286.0215053763441,-266.0
2021,2021-01-01,Municipios,Anchuelo,129,,
2022,2022-01-01,Municipios,Anchuelo,-219,-269.7674418604651,-348.0
2023,2023-01-01,Municipios,Anchuelo,-89,-59.360730593607315,130.0
2024,2024-01-01,Municipios,Anchuelo,89,-200.0,178.0
2021,2021-01-01,Municipios,Aranjuez,104,,
2022,2022-01-01,Municipios,Aranjuez,-142,-236.53846153846155,-246.0
2023,2023-01-01,Municipios,Aranjuez,-65,-54.22535211267605,77.0
2024,2024-01-01,Municipios,Aranjuez,55,-184.6153846153846,120.0
2021,2021-01-01,Municipios,Arganda del Rey,104,,
2022,2022-01-01,Municipios,Arganda del Rey,-192,-284.61538461538464,-296.0
2023,2023-01-01,Municipios,Arganda del Rey,-79,-58.85416666666667,113.0
2024,2024-01-01,Municipios,Arganda del Rey,25,-131.64556962025316,104.0
2021,2021-01-01,Municipios,Arroyomolinos,81,,
2022,2022-01-01,Municipios,Arroyomolinos,-106,-230.8641975308642,-187.0
2023,2023-01-01,Municipios,Arroyomolinos,-41,-61.32075471698113,65.0
2024,2024-01-01,Municipios,Arroyomolinos,14,-134.14634146341464,55.0
2021,2021-01-01,Municipios,Atazar (El),304,,
2022,2022-01-01,Municipios,Atazar (El),22,-92.76315789473684,-282.0
2023,2023-01-01,Municipios,Atazar (El),35,59.09090909090908,13.0
2024,2024-01-01,Municipios,Atazar (El),-689,-2068.571428571429,-724.0
2021,2021-01-01,Municipios,Batres,59,,
2022,2022-01-01,Municipios,Batres,-34,-157.6271186440678,-93.0
2023,2023-01-01,Municipios,Batres,-88,158.82352941176472,-54.0
2024,2024-01-01,Municipios,Batres,72,-181.81818181818184,160.0
2021,2021-01-01,Municipios,Becerril de la Sierra,38,,
2022,2022-01-01,Municipios,Becerril de la Sierra,-118,-410.52631578947364,-156.0
2023,2023-01-01,Municipios,Becerril de la Sierra,47,-139.83050847457628,165.0
2024,2024-01-01,Municipios,Becerril de la Sierra,15,-68.08510638297872,-32.0
2021,2021-01-01,Municipios,Belmonte de Tajo,-34,,
2022,2022-01-01,Municipios,Belmonte de Tajo,-3,-91.17647058823529,31.0
2023,2023-01-01,Municipios,Belmonte de Tajo,-69,2200.0,-66.0
2024,2024-01-01,Municipios,Belmonte de Tajo,39,-156.52173913043475,108.0
2021,2021-01-01,Municipios,Berrueco (El),4,,
2022,2022-01-01,Municipios,Berrueco (El),-65,-1725.0,-69.0
2023,2023-01-01,Municipios,Berrueco (El),37,-156.92307692307693,102.0
2024,2024-01-01,Municipios,Berrueco (El),115,210.81081081081078,78.0
2021,2021-01-01,Municipios,Berzosa del Lozoya,333,,
2022,2022-01-01,Municipios,Berzosa del Lozoya,-384,-215.3153153153153,-717.0
2023,2023-01-01,Municipios,Berzosa del Lozoya,58,-115.10416666666667,442.0
2024,2024-01-01,Municipios,Berzosa del Lozoya,2,-96.55172413793103,-56.0
2021,2021-01-01,Municipios,Boadilla del Monte,38,,
2022,2022-01-01,Municipios,Boadilla del Monte,-71,-286.84210526315786,-109.0
2023,2023-01-01,Municipios,Boadilla del Monte,-18,-74.64788732394366,53.0
2024,2024-01-01,Municipios,Boadilla del Monte,12,-166.66666666666666,30.0
2021,2021-01-01,Municipios,Boalo (El),39,,
2022,2022-01-01,Municipios,Boalo (El),-79,-302.56410256410254,-118.0
2023,2023-01-01,Municipios,Boalo (El),-63,-20.253164556962023,16.0
2024,2024-01-01,Municipios,Boalo (El),7,-111.11111111111111,70.0
2021,2021-01-01,Municipios,Braojos,17,,
2022,2022-01-01,Municipios,Braojos,-46,-370.5882352941177,-63.0
2023,2023-01-01,Municipios,Braojos,-84,82.6086956521739,-38.0
2024,2024-01-01,Municipios,Braojos,-10,-88.09523809523809,74.0
2021,2021-01-01,Municipios,Brea de Tajo,18,,
2022,2022-01-01,Municipios,Brea de Tajo,-185,-1127.7777777777778,-203.0
2023,2023-01-01,Municipios,Brea de Tajo,-151,-18.37837837837838,34.0
2024,2024-01-01,Municipios,Brea de Tajo,-152,0.6622516556291425,-1.0
2021,2021-01-01,Municipios,Brunete,81,,
2022,2022-01-01,Municipios,Brunete,-126,-255.55555555555554,-207.0
2023,2023-01-01,Municipios,Brunete,-32,-74.60317460317461,94.0
2024,2024-01-01,Municipios,Brunete,23,-171.875,55.0
2021,2021-01-01,Municipios,Buitrago del Lozoya,206,,
2022,2022-01-01,Municipios,Buitrago del Lozoya,-244,-218.44660194174756,-450.0
2023,2023-01-01,Municipios,Buitrago del Lozoya,37,-115.1639344262295,281.0
2024,2024-01-01,Municipios,Buitrago del Lozoya,14,-62.16216216216216,-23.0
2021,2021-01-01,Municipios,Bustarviejo,51,,
2022,2022-01-01,Municipios,Bustarviejo,-9,-117.64705882352942,-60.0
2023,2023-01-01,Municipios,Bustarviejo,-22,144.44444444444446,-13.0
2024,2024-01-01,Municipios,Bustarviejo,38,-272.72727272727275,60.0
