anio,fecha,tipo_territorio,territorio,sexo,nacionalidad,grupo_edad,poblacion,tasa_paro,tasa_paro_var_interanual_pct,tasa_paro_cambio_pp,date_paro
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,,Total,3221401,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 20-24 años,170751,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 75-79 años,97341,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,,espanola,De 45-49 años,497750,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,,extranjera,De 100 y más años,30,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 75-79 años,132401,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,,espanola,De 40-44 años,470595,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 40-44 años,52308,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 85-89 años,42830,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,,extranjera,De 60-64 años,29448,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,,extranjera,De 20-24 años,67505,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 70-74 años,124768,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,,De 50-54 años,252473,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,,De 55-59 años,220511,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 25-29 años,197072,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,,De 10-14 años,186005,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 65-69 años,177183,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 45-49 años,244184,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,,espanola,De 70-74 años,281571,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 90-94 años,40718,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 15-19 años,167784,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,,extranjera,De 35-39 años,114572,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,,De 75-79 años,99417,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,,,De 50-54 años,520576,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 35-39 años,188728,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 100 y más años,1563,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 45-49 años,295049,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,,extranjera,De 45-49 años,82953,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 35-39 años,249792,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,,extranjera,Total,923113,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 15-19 años,149580,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 5-9 años,143722,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,,De 70-74 años,163009,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 75-79 años,129035,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,extranjera,De 100 y más años,8,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,,,De 70-74 años,291796,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,extranjera,De 40-44 años,53315,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,,extranjera,De 80-84 años,3299,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 90-94 años,16475,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,,espanola,De 85-89 años,121858,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,,espanola,De 25-29 años,287855,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,hombres,espanola,De 25-29 años,145403,118,,,2021-01-01
2021,2021-01-01,Comunidad de Madrid,Comunidad de Madrid,mujeres,espanola,De 0-4 años,119607,118,,,2021-01-01
