Año;Tipo territorio;Código territorio;Territorio;Valor;Estado dato
2007;Comunidad de Madrid;;Comunidad de Madrid;-0.06;
2007;Municipios;0014;Acebeda (La);1.75;
2007;Municipios;0029;Ajalvir;-0.48;
2007;Municipios;0035;Alameda del Valle;-3.06;
2007;Municipios;0040;Álamo (El);-0.12;
2007;Municipios;0053;Alcalá de Henares;-0.07;
2007;Municipios;0066;Alcobendas;-0.05;
2007;Municipios;0072;Alcorcón;-0.17;
2007;Municipios;0088;Aldea del Fresno;-0.26;
2007;Municipios;0091;Algete;0.28;
2007;Municipios;0105;Alpedrete;-0.06;
2007;Municipios;0112;Ambite;-0.52;
2007;Municipios;0127;Anchuelo;-0.04;
2007;Municipios;0133;Aranjuez;0.18;
2007;Municipios;0148;Arganda del Rey;-0.15;
2007;Municipios;0151;Arroyomolinos;-0.36;
2007;Municipios;0164;Atazar (El);-1.72;
2007;Municipios;0170;Batres;0.60;
2007;Municipios;0186;Becerril de la Sierra;-0.72;
2007;Municipios;0199;Belmonte de Tajo;0.54;
2007;Municipios;0210;Berrueco (El);-2.14;
2007;Municipios;0203;Berzosa del Lozoya;-4.17;
2007;Municipios;0225;Boadilla del Monte;-0.23;
2007;Municipios;0231;Boalo (El);0.55;
2007;Municipios;0246;Braojos;-1.69;
2007;Municipios;0259;Brea de Tajo;-2.54;
2007;Municipios;0262;Brunete;-0.07;
2007;Municipios;0278;Buitrago del Lozoya;0.00;
2007;Municipios;0284;Bustarviejo;-0.90;
2007;Municipios;0297;Cabanillas de la Sierra;1.96;
2007;Municipios;0301;Cabrera (La);-0.10;
2007;Municipios;0318;Cadalso de los Vidrios;-0.94;
2007;Municipios;0323;Camarma de Esteruelas;-0.37;
2007;Municipios;0339;Campo Real;-0.61;
2007;Municipios;0344;Canencia;0.43;
2007;Municipios;0357;Carabaña;0.06;
2007;Municipios;0360;Casarrubuelos;-0.21;
2007;Municipios;0376;Cenicientos;-1.61;
2007;Municipios;0382;Cercedilla;-0.24;
2007;Municipios;0395;Cervera de Buitrago;-2.64;
