Año;Tipo territorio;Código territorio;Territorio;Edad;Nacionalidad;Sexo;Valor;Estado dato
2021;Comunidad de Madrid;;Comunidad de Madrid;Total;Total;Total;6726640;
2021;Municipios;0014;Acebeda (La);Total;Total;Total;55;
2021;Municipios;0029;Ajalvir;Total;Total;Total;4793;
2021;Municipios;0035;Alameda del Valle;Total;Total;Total;248;
2021;Municipios;0040;Álamo (El);Total;Total;Total;9946;
2021;Municipios;0053;Alcalá de Henares;Total;Total;Total;195570;
2021;Municipios;0066;Alcobendas;Total;Total;Total;116895;
2021;Municipios;0072;Alcorcón;Total;Total;Total;171575;
2021;Municipios;0088;Aldea del Fresno;Total;Total;Total;3078;
2021;Municipios;0091;Algete;Total;Total;Total;20704;
2021;Municipios;0105;Alpedrete;Total;Total;Total;15178;
2021;Municipios;0112;Ambite;Total;Total;Total;663;
2021;Municipios;0127;Anchuelo;Total;Total;Total;1365;
2021;Municipios;0133;Aranjuez;Total;Total;Total;60156;
2021;Municipios;0148;Arganda del Rey;Total;Total;Total;56315;
2021;Municipios;0151;Arroyomolinos;Total;Total;Total;33757;
2021;Municipios;0164;Atazar (El);Total;Total;Total;109;
2021;Municipios;0170;Batres;Total;Total;Total;1818;
2021;Municipios;0186;Becerril de la Sierra;Total;Total;Total;6096;
2021;Municipios;0199;Belmonte de Tajo;Total;Total;Total;1749;
2021;Municipios;0210;Berrueco (El);Total;Total;Total;810;
2021;Municipios;0203;Berzosa del Lozoya;Total;Total;Total;213;
2021;Municipios;0225;Boadilla del Monte;Total;Total;Total;59000;
2021;Municipios;0231;Boalo (El);Total;Total;Total;8006;
2021;Municipios;0246;Braojos;Total;Total;Total;218;
2021;Municipios;0259;Brea de Tajo;Total;Total;Total;529;
2021;Municipios;0262;Brunete;Total;Total;Total;10699;
2021;Municipios;0278;Buitrago del Lozoya;Total;Total;Total;1943;
2021;Municipios;0284;Bustarviejo;Total;Total;Total;2706;
2021;Municipios;0297;Cabanillas de la Sierra;Total;Total;Total;841;
2021;Municipios;0301;Cabrera (La);Total;Total;Total;2776;
2021;Municipios;0318;Cadalso de los Vidrios;Total;Total;Total;3227;
2021;Municipios;0323;Camarma de Esteruelas;Total;Total;Total;7536;
2021;Municipios;0339;Campo Real;Total;Total;Total;6435;
2021;Municipios;0344;Canencia;Total;Total;Total;457;
2021;Municipios;0357;Carabaña;Total;Total;Total;2168;
2021;Municipios;0360;Casarrubuelos;Total;Total;Total;3950;
2021;Municipios;0376;Cenicientos;Total;Total;Total;2078;
2021;Municipios;0382;Cercedilla;Total;Total;Total;7315;
2021;Municipios;0395;Cervera de Buitrago;Total;Total;Total;158;
2021;Municipios;0513;Chapinería;Total;Total;Total;2493;
2021;Municipios;0528;Chinchón;Total;Total;Total;5544;
2021;Municipios;0409;Ciempozuelos;Total;Total;Total;25070;
2021;Municipios;0416;Cobeña;Total;Total;Total;7424;
2021;Municipios;0468;Collado Mediano;Total;Total;Total;7348;
2021;Municipios;0474;Collado Villalba;Total;Total;Total;64297;
2021;Municipios;0437;Colmenar de Oreja;Total;Total;Total;8422;
2021;Municipios;0421;Colmenar del Arroyo;Total;Total;Total;1879;
2021;Municipios;0455;Colmenar Viejo;Total;Total;Total;52465;
2021;Municipios;0442;Colmenarejo;Total;Total;Total;9414;
2021;Municipios;0480;Corpa;Total;Total;Total;742;
2021;Municipios;0493;Coslada;Total;Total;Total;81388;
2021;Municipios;0506;Cubas de la Sagra;Total;Total;Total;6607;
2021;Municipios;0534;Daganzo de Arriba;Total;Total;Total;10528;
2021;Municipios;0549;Escorial (El);Total;Total;Total;16681;
2021;Municipios;0552;Estremera;Total;Total;Total;1379;
2021;Municipios;0565;Fresnedillas de la Oliva;Total;Total;Total;1733;
2021;Municipios;0571;Fresno de Torote;Total;Total;Total;2412;
2021;Municipios;0587;Fuenlabrada;Total;Total;Total;192612;
2021;Municipios;0590;Fuente el Saz de Jarama;Total;Total;Total;6868;
2021;Municipios;0604;Fuentidueña de Tajo;Total;Total;Total;2223;
2021;Municipios;0611;Galapagar;Total;Total;Total;34653;
2021;Municipios;0626;Garganta de los Montes;Total;Total;Total;411;
2021;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;Total;Total;Total;348;
2021;Municipios;0647;Gascones;Total;Total;Total;191;
2021;Municipios;0650;Getafe;Total;Total;Total;183872;
2021;Municipios;0663;Griñón;Total;Total;Total;10489;
2021;Municipios;0679;Guadalix de la Sierra;Total;Total;Total;6597;
2021;Municipios;0685;Guadarrama;Total;Total;Total;16583;
2021;Municipios;0698;Hiruela (La);Total;Total;Total;73;
2021;Municipios;0702;Horcajo de la Sierra-Aoslos;Total;Total;Total;169;
2021;Municipios;0719;Horcajuelo de la Sierra;Total;Total;Total;106;
2021;Municipios;0724;Hoyo de Manzanares;Total;Total;Total;8669;
2021;Municipios;0730;Humanes de Madrid;Total;Total;Total;19685;
2021;Municipios;0745;Leganés;Total;Total;Total;188687;
2021;Municipios;0758;Loeches;Total;Total;Total;8916;
2021;Municipios;0761;Lozoya;Total;Total;Total;599;
2021;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;Total;Total;Total;1412;
2021;Municipios;0783;Madarcos;Total;Total;Total;57;
2021;Municipios;0796;Madrid;Total;Total;Total;3277451;
2021;Municipios;0800;Majadahonda;Total;Total;Total;72173;
2021;Municipios;0822;Manzanares el Real;Total;Total;Total;9223;
2021;Municipios;0838;Meco;Total;Total;Total;14960;
2021;Municipios;0843;Mejorada del Campo;Total;Total;Total;23673;
2021;Municipios;0856;Miraflores de la Sierra;Total;Total;Total;6588;
2021;Municipios;0869;Molar (El);Total;Total;Total;9305;
2021;Municipios;0875;Molinos (Los);Total;Total;Total;4599;
2021;Municipios;0881;Montejo de la Sierra;Total;Total;Total;356;
2021;Municipios;0894;Moraleja de Enmedio;Total;Total;Total;5336;
2021;Municipios;0908;Moralzarzal;Total;Total;Total;13597;
2021;Municipios;0915;Morata de Tajuña;Total;Total;Total;7908;
2021;Municipios;0920;Móstoles;Total;Total;Total;208632;
2021;Municipios;0936;Navacerrada;Total;Total;Total;3232;
2021;Municipios;0941;Navalafuente;Total;Total;Total;1586;
2021;Municipios;0954;Navalagamella;Total;Total;Total;2711;
2021;Municipios;0967;Navalcarnero;Total;Total;Total;30696;
2021;Municipios;0973;Navarredonda y San Mamés;Total;Total;Total;141;
2021;Municipios;0992;Navas del Rey;Total;Total;Total;3058;
2021;Municipios;1006;Nuevo Baztán;Total;Total;Total;6678;
2021;Municipios;1013;Olmeda de las Fuentes;Total;Total;Total;365;
2021;Municipios;1028;Orusco de Tajuña;Total;Total;Total;1291;
2021;Municipios;1049;Paracuellos de Jarama;Total;Total;Total;26293;
2021;Municipios;1065;Parla;Total;Total;Total;130550;
2021;Municipios;1071;Patones;Total;Total;Total;523;
2021;Municipios;1087;Pedrezuela;Total;Total;Total;6168;
2021;Municipios;1090;Pelayos de la Presa;Total;Total;Total;2814;
2021;Municipios;1104;Perales de Tajuña;Total;Total;Total;3037;
2021;Municipios;1111;Pezuela de las Torres;Total;Total;Total;925;
2021;Municipios;1126;Pinilla del Valle;Total;Total;Total;196;
2021;Municipios;1132;Pinto;Total;Total;Total;53625;
2021;Municipios;1147;Piñuécar-Gandullas;Total;Total;Total;184;
2021;Municipios;1150;Pozuelo de Alarcón;Total;Total;Total;87080;
2021;Municipios;1163;Pozuelo del Rey;Total;Total;Total;1214;
2021;Municipios;1179;Prádena del Rincón;Total;Total;Total;148;
2021;Municipios;1185;Puebla de la Sierra;Total;Total;Total;75;
2021;Municipios;9020;Puentes Viejas;Total;Total;Total;716;
2021;Municipios;1198;Quijorna;Total;Total;Total;3589;
2021;Municipios;1202;Rascafría;Total;Total;Total;1762;
2021;Municipios;1219;Redueña;Total;Total;Total;295;
2021;Municipios;1224;Ribatejada;Total;Total;Total;863;
2021;Municipios;1230;Rivas-Vaciamadrid;Total;Total;Total;93272;
2021;Municipios;1245;Robledillo de la Jara;Total;Total;Total;97;
2021;Municipios;1258;Robledo de Chavela;Total;Total;Total;4485;
2021;Municipios;1261;Robregordo;Total;Total;Total;70;
2021;Municipios;1277;Rozas de Madrid (Las);Total;Total;Total;95294;
