Año;Tipo territorio;Código territorio;Territorio;Edad;Nacionalidad;Sexo;Valor;Estado dato
2021;Comunidad de Madrid;;Comunidad de Madrid;Total;Total;Total;6726640;
2021;Municipios;0014;Acebeda (La);Total;Total;Total;55;
2021;Municipios;0029;Ajalvir;Total;Total;Total;4793;
2021;Municipios;0035;Alameda del Valle;Total;Total;Total;248;
2021;Municipios;0040;Álamo (El);Total;Total;Total;9946;
2021;Municipios;0053;Alcalá de Henares;Total;Total;Total;195570;
2021;Municipios;0066;Alcobendas;Total;Total;Total;116895;
2021;Municipios;0072;Alcorcón;Total;Total;Total;171575;
2021;Municipios;0088;Aldea del Fresno;Total;Total;Total;3078;
2021;Municipios;0091;Algete;Total;Total;Total;20704;
2021;Municipios;0105;Alpedrete;Total;Total;Total;15178;
2021;Municipios;0112;Ambite;Total;Total;Total;663;
2021;Municipios;0127;Anchuelo;Total;Total;Total;1365;
2021;Municipios;0133;Aranjuez;Total;Total;Total;60156;
2021;Municipios;0148;Arganda del Rey;Total;Total;Total;56315;
2021;Municipios;0151;Arroyomolinos;Total;Total;Total;33757;
2021;Municipios;0164;Atazar (El);Total;Total;Total;109;
2021;Municipios;0170;Batres;Total;Total;Total;1818;
2021;Municipios;0186;Becerril de la Sierra;Total;Total;Total;6096;
2021;Municipios;0199;Belmonte de Tajo;Total;Total;Total;1749;
2021;Municipios;0210;Berrueco (El);Total;Total;Total;810;
2021;Municipios;0203;Berzosa del Lozoya;Total;Total;Total;213;
2021;Municipios;0225;Boadilla del Monte;Total;Total;Total;59000;
2021;Municipios;0231;Boalo (El);Total;Total;Total;8006;
2021;Municipios;0246;Braojos;Total;Total;Total;218;
2021;Municipios;0259;Brea de Tajo;Total;Total;Total;529;
2021;Municipios;0262;Brunete;Total;Total;Total;10699;
2021;Municipios;0278;Buitrago del Lozoya;Total;Total;Total;1943;
2021;Municipios;0284;Bustarviejo;Total;Total;Total;2706;
2021;Municipios;0297;Cabanillas de la Sierra;Total;Total;Total;841;
2021;Municipios;0301;Cabrera (La);Total;Total;Total;2776;
2021;Municipios;0318;Cadalso de los Vidrios;Total;Total;Total;3227;
2021;Municipios;0323;Camarma de Esteruelas;Total;Total;Total;7536;
2021;Municipios;0339;Campo Real;Total;Total;Total;6435;
2021;Municipios;0344;Canencia;Total;Total;Total;457;
2021;Municipios;0357;Carabaña;Total;Total;Total;2168;
2021;Municipios;0360;Casarrubuelos;Total;Total;Total;3950;
2021;Municipios;0376;Cenicientos;Total;Total;Total;2078;
2021;Municipios;0382;Cercedilla;Total;Total;Total;7315;
2021;Municipios;0395;Cervera de Buitrago;Total;Total;Total;158;
2021;Municipios;0513;Chapinería;Total;Total;Total;2493;
2021;Municipios;0528;Chinchón;Total;Total;Total;5544;
2021;Municipios;0409;Ciempozuelos;Total;Total;Total;25070;
2021;Municipios;0416;Cobeña;Total;Total;Total;7424;
2021;Municipios;0468;Collado Mediano;Total;Total;Total;7348;
2021;Municipios;0474;Collado Villalba;Total;Total;Total;64297;
2021;Municipios;0437;Colmenar de Oreja;Total;Total;Total;8422;
2021;Municipios;0421;Colmenar del Arroyo;Total;Total;Total;1879;
2021;Municipios;0455;Colmenar Viejo;Total;Total;Total;52465;
2021;Municipios;0442;Colmenarejo;Total;Total;Total;9414;
