grupo_edad,sexo,poblacion
De 0-4 años,mujeres,107773
De 10-14 años,mujeres,152517
De 100 y más años,hombres,6
De 100 y más años,mujeres,2034
De 15-19 años,mujeres,159456
De 25-29 años,hombres,149201
De 30-34 años,hombres,607
De 35-39 años,hombres,60164
De 35-39 años,mujeres,239035
De 40-44 años,hombres,57303
De 40-44 años,mujeres,61470
De 45-49 años,mujeres,257443
De 45-49 años,hombres,295804
De 5-9 años,mujeres,159153
De 55-59 años,hombres,213886
De 55-59 años,mujeres,232645
De 60-64 años,hombres,16566
De 70-74 años,hombres,124903
De 75-79 años,hombres,111817
De 75-79 años,mujeres,150978
De 85-89 años,hombres,43193
De 90-94 años,hombres,20037
De 90-94 años,mujeres,46288
De 95-99 años,hombres,63
